"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=cerapoda"
"Access Time","Fri 2017-02-03 21:14:25 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","cerapoda"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.154"
"Records Found","3991"
"Records Returned","3991"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"220091","occ","","","22685","Protoceratops sp.","genus","38848","","Protoceratops","genus","38848","Late Campanian","","83.5","70.6","5680"
"220092","occ","","","22686","Protoceratops sp.","genus","38848","","Protoceratops","genus","38848","Late Campanian","","83.5","70.6","5680"
"220095","occ","","","22687","Hypsilophodon foxii","species","54190","","Hypsilophodon foxii","species","54190","Late Hauterivian","Early Aptian","136.4","122.46","5672"
"220096","occ","","","22689","Prosaurolophus blackfeetensis","species","57631","","Prosaurolophus blackfeetensis","species","57631","Late Santonian","Early Campanian","85.8","70.6","5724"
"220097","occ","18104","","22689","Hypacrosaurus cf. stebingeri","species","64339","","Hypacrosaurus stebingeri","species","64339","Late Santonian","Early Campanian","85.8","70.6","17718"
"220098","occ","","","22689","Gryposaurus sp.","genus","53014","","Gryposaurus","genus","53014","Late Santonian","Early Campanian","85.8","70.6","5724"
"220109","occ","","","22691","Maiasaura peeblesorum","species","55574","","Maiasaura peeblesorum","species","55574","Campanian","","83.6","72.1","5724"
"220116","occ","","","22695","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Late Campanian","","83.5","70.6","5929"
"220119","occ","","","22696","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Late Campanian","","83.5","70.6","5929"
"220124","occ","23117","","22699","Pachyrhinosaurus n. sp. lakustai","species","167138","","Pachyrhinosaurus lakustai","species","167138","Late Campanian","","83.5","70.6","32668"
"220149","occ","","","22709","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Late Campanian","","83.5","70.6","5684"
"220165","occ","","","22711","Dryosaurus sp.","genus","38731","","Dryosaurus","genus","38731","Kimmeridgian","Tithonian","157.3","145","15179"
"220166","occ","","","22711","Camptosaurus sp.","genus","38748","","Camptosaurus","genus","38748","Kimmeridgian","Tithonian","157.3","145","15179"
"220190","occ","19089","","22713","Euornithopoda indet.","unranked clade","52801","","Euornithopoda","unranked clade","52801","Aptian","","125","113","18905"
"220226","occ","23105","","22727","Iguanodon bernissartensis","species","58905","","Iguanodon bernissartensis","species","58905","Aptian","","125","113","5691"
"220227","occ","30565","","22727","Iguanodon cf. atherfieldensis","species","64255","recombined as","Mantellisaurus atherfieldensis","species","64255","Aptian","","125","113","5691"
"220228","occ","18442","","22727","Iguanodon cf. bernissartensis","species","58905","","Iguanodon bernissartensis","species","58905","Aptian","","125","113","5691"
"221280","occ","18488","","22655","Styracosaurus albertensis","species","56144","","Styracosaurus albertensis","species","56144","Late Campanian","","83.5","70.6","18896"
"221281","occ","","","22659","Centrosaurus apertus","species","63911","","Centrosaurus apertus","species","63911","Late Campanian","","83.5","70.6","18556"
"229313","occ","12169","","22690","Hypacrosaurus stebingeri","species","64339","","Hypacrosaurus stebingeri","species","64339","Campanian","","83.6","72.1","12559"
"229314","occ","","","22692","Prosaurolophus n. sp. blackfeetensis","species","57631","","Prosaurolophus blackfeetensis","species","57631","Late Campanian","","83.5","70.6","5697"
"229315","occ","10640","","22693","n. gen. Einiosaurus n. sp. procurvicornis","species","53954","","Einiosaurus procurvicornis","species","53954","Campanian","","83.6","72.1","14725"
"229316","occ","","","22694","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Campanian","","83.6","72.1","5697"
"229317","occ","10641","","22694","Einiosaurus procurvicornis","species","53954","","Einiosaurus procurvicornis","species","53954","Campanian","","83.6","72.1","8729"
"229342","occ","","","22709","Chasmosaurus mariscalensis","species","52772","recombined as","Agujaceratops mariscalensis","species","52772","Late Campanian","","83.5","70.6","5684"
"248075","occ","19747","","14437","n. gen. Avaceratops n. sp. lammersi","species","55539","","Avaceratops lammersi","species","55539","Middle Campanian","Late Campanian","83.5","70.6","25472"
"248589","occ","","","24257","Hadrosaurinae indet.","subfamily","53382","","Hadrosaurinae","subfamily","53382","Late Campanian","","83.5","70.6","694"
"248594","occ","31474","","24258","n. gen. Latirhinus n. sp. uitstlani","species","251612","","Latirhinus uitstlani","species","251612","Late Campanian","","83.5","70.6","43677"
"248601","occ","","","24259","Hadrosaurinae indet.","subfamily","53382","","Hadrosaurinae","subfamily","53382","Late Campanian","","83.5","70.6","694"
"248607","occ","","","24260","Hadrosaurinae indet.","subfamily","53382","","Hadrosaurinae","subfamily","53382","Late Campanian","","83.5","70.6","694"
"248615","occ","","","24261","Hadrosaurinae indet.","subfamily","53382","","Hadrosaurinae","subfamily","53382","Late Campanian","","83.5","70.6","694"
"248620","occ","","","14616","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Lancian","","70.6","66","1987"
"248621","occ","","","14616","Ceratopsidae indet.","family","38851","","Ceratopsidae","family","38851","Lancian","","70.6","66","1987"
"255091","occ","","F","24757","Ovaloolithus chinkangkouensis","species","68513","","Ovaloolithus chinkangkouensis","species","68512","Campanian","","83.6","72.1","24337"
"255376","occ","12320","","24790","Anatosaurus n. sp. copei","species","53383","recombined as","Anatotitan copei","species","53383","Maastrichtian","","72.1","66","12319"
"255468","occ","","","24804","Ornithopoda indet.","unranked clade","38713","","Ornithopoda","unranked clade","38713","Barremian","","129.4","125","6957"
"255471","occ","","","24806","Shiraminesauropus n. sp. hayashidaniensis","species","142960","nomen dubium","Ornithopoda","unranked clade","38713","Hauterivian","","132.9","129.4","36936"
"255623","occ","","","14455","Hadrosaurus sp.","genus","38762","","Hadrosaurus","genus","38762","Judithian","","83.5","70.6","1691"
"255624","occ","","","14455","Hypsibema crassicauda","species","64361","nomen dubium","Hadrosauridae","family","38755","Judithian","","83.5","70.6","1691"
"255625","occ","","","14455","Ornithopoda indet.","unranked clade","38713","","Ornithopoda","unranked clade","38713","Judithian","","83.5","70.6","1691"
"256036","occ","13663","","24845","Saurolophinae indet.","subfamily","53385","","Saurolophinae","subfamily","53385","Maastrichtian","","72.1","66","14863"
"256118","occ","","","24851","Triceratops prorsus","species","63770","","Triceratops prorsus","species","63770","Maastrichtian","","72.1","66","6967"
"256525","occ","13614","","24888","n. gen. Protohadros n. sp. byrdi","species","64527","","Protohadros byrdi","species","64527","Middle Cenomanian","","99.6","93.5","6977"
"256534","occ","30502","","24891","Chasmosaurus n. sp. irvinensis","species","64731","recombined as","Vagaceratops irvinensis","species","64731","Late Campanian","","83.5","70.6","6978"
"256539","occ","31786","","24893","Chasmosaurus irvinensis","species","64731","recombined as","Vagaceratops irvinensis","species","64731","Late Campanian","","83.5","70.6","6978"
"256575","occ","","","24897","Iguanodon mantelli","species","64506","","Iguanodon mantelli","species","64506","Late Barremian","Early Aptian","130","122.46","6980"
"256679","occ","12154","","24906","Iguanodon n. sp. atherfieldensis","species","64255","recombined as","Mantellisaurus atherfieldensis","species","64255","Late Hauterivian","Early Aptian","136.4","122.46","6982"
"256711","occ","","","24904","n. gen. Wannanosaurus n. sp. yansiensis","species","52840","","Wannanosaurus yansiensis","species","52840","Early Maastrichtian","","70.6","66","6987"
"256789","occ","27983","","24915","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Late Campanian","","83.5","70.6","37768"
"256790","occ","","","24915","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Late Campanian","","83.5","70.6","6989"
"256911","occ","","","24924","Centrosaurinae indet.","subfamily","53953","","Centrosaurinae","subfamily","53953","Early Campanian","","83.5","70.6","4308"
"259283","occ","","","25073","Chasmosaurus mariscalensis","species","52772","recombined as","Agujaceratops mariscalensis","species","52772","Late Campanian","","83.5","70.6","7029"
"259284","occ","","","25073","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Late Campanian","","83.5","70.6","7029"
"259321","occ","13275","","25076","Tenontosaurus tilletti","species","52887","","Tenontosaurus tilletti","species","52887","Albian","","113","100.5","13525"
"259322","occ","","","25077","Tenontosaurus tilletti","species","52887","","Tenontosaurus tilletti","species","52887","Albian","","113","100.5","13525"
"262169","occ","","","25325","Ornithopoda indet.","unranked clade","38713","","Ornithopoda","unranked clade","38713","Early Cenomanian","","99.6","93.5","7098"
"262359","occ","21962","","25363","Ouranosaurus ? sp.","genus","38751","","Ouranosaurus","genus","38751","Albian","","113","100.5","16996"
"263354","occ","","","25428","Ornithopoda indet.","unranked clade","38713","","Ornithopoda","unranked clade","38713","Late Barremian","Early Aptian","130","122.46","7123"
"266835","occ","18109","","25658","Orodromeus makelai","species","64338","","Orodromeus makelai","species","64338","Middle Campanian","","83.5","70.6","17718"
"266838","occ","","","25658","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Middle Campanian","","83.5","70.6","7156"
"269458","occ","","","25835","Psittacosaurus sp.","genus","38844","","Psittacosaurus","genus","38844","Late Barremian","Early Aptian","130","122.46","7186"
"280099","occ","","","26760","Edmontosaurus annectens","species","64305","","Edmontosaurus annectens","species","54239","Late Maastrichtian","","70.6","66","7389"
"280197","occ","","","26766","Hadrosaurus notabilis","species","95941","recombined as","Gryposaurus notabilis","species","63251","Late Campanian","","83.5","70.6","7398"
"280199","occ","19514","","26767","Lambeosaurinae indet.","subfamily","53394","","Lambeosaurinae","subfamily","53394","Late Campanian","","83.5","70.6","24881"
"280542","occ","","","26775","n. gen. Maiasaura n. sp. peeblesorum","species","55574","","Maiasaura peeblesorum","species","55574","Middle Campanian","Late Campanian","83.5","70.6","7402"
"280571","occ","","","26779","Brachylophosaurus n. sp. goodwini","species","64297","subjective synonym of","Brachylophosaurus canadensis","species","65213","Middle Campanian","","83.5","70.6","7405"
"280574","occ","","","26782","Iguanodon mantelli","species","64506","","Iguanodon mantelli","species","64506","Late Hauterivian","Early Aptian","136.4","122.46","7386"
"280829","occ","19290","","26790","Iguanodon n. sp. prestwichii","species","64407","recombined as","Cumnoria prestwichii","species","64407","Late Kimmeridgian","","155.7","150.8","7419"
"280867","occ","13277","","26791","Hypsilophodon foxii","species","54190","","Hypsilophodon foxii","species","54190","Late Barremian","","130","125.45","12803"
"280868","occ","","","26793","Iguanodon sp.","genus","38749","","Iguanodon","genus","38749","Late Hauterivian","Early Aptian","136.4","122.46","29198"
"280989","occ","","","26797","n. gen. Vectisaurus n. sp. valdensis","species","53040","subjective synonym of","Mantellisaurus atherfieldensis","species","64255","Late Hauterivian","Early Barremian","136.4","125.45","7426"
"281628","occ","","","26818","Edmontosaurus minor","species","85998","nomen dubium","Hadrosauridae","family","38755","Early Maastrichtian","","70.6","66","1580"
"281629","occ","30921","","26818","Lambeosaurinae indet.","subfamily","53394","","Lambeosaurinae","subfamily","53394","Early Maastrichtian","","70.6","66","7438"
"284033","occ","","","27010","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Santonian","","86.3","83.6","7468"
"284149","occ","10067","","27017","Iguanodon ottingeri","species","64514","nomen dubium","Iguanodontia","unranked clade","52805","Barremian","","129.4","125","2087"
"284150","occ","","","27017","Hypsilophodontidae indet.","family","38734","","Hypsilophodontidae","family","38734","Barremian","","129.4","125","7471"
"284617","occ","21985","","27025","Iguanodon n. sp. ottingeri","species","64514","nomen dubium","Iguanodontia","unranked clade","52805","Barremian","","129.4","125","7478"
"284657","occ","19970","","27031","Hypsilophodon n. sp. wielandi","species","64512","nomen dubium","Ornithopoda","unranked clade","38713","Aptian","","125","113","7478"
"284661","occ","","","27033","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Albian","","113","100.5","7478"
"284665","occ","12097","","27035","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Early Aptian","Late Albian","125.45","99.6","7478"
"284749","occ","","","27046","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Albian","","113","100.5","2087"
"284796","occ","","","27048","Ornithopoda indet.","unranked clade","38713","","Ornithopoda","unranked clade","38713","Albian","","113","100.5","2087"
"285083","occ","13281","","27067","n. gen. Eolambia n. sp. caroljonesa","species","66500","","Eolambia caroljonesa","species","66500","Late Albian","","105.3","99.6","13823"
"287918","occ","","","14557","cf. Thescelosaurus sp.","genus","38742","","Thescelosaurus","genus","38742","Lancian","","70.6","66","774"
"287919","occ","","","14557","cf. Edmontosaurus sp.","genus","38761","","Edmontosaurus","genus","38761","Lancian","","70.6","66","774"
"287920","occ","","","14557","cf. Triceratops sp.","genus","38862","","Triceratops","genus","38862","Lancian","","70.6","66","774"
"288580","occ","","","14489","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Judithian","","83.5","70.6","2988"
"288581","occ","","","14489","Ceratopsidae indet.","family","38851","","Ceratopsidae","family","38851","Judithian","","83.5","70.6","2988"
"288583","occ","12535","","14489","Pachycephalosauridae indet.","family","38783","","Pachycephalosauridae","family","38783","Judithian","","83.5","70.6","11752"
"289108","occ","","","27562","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Maastrichtian","","72.1","66","61518"
"289723","occ","31619","","14375","Tenontosaurus ? sp.","genus","38741","","Tenontosaurus","genus","38741","Albian","","113","100.5","7600"
"289724","occ","","","14375","Hypsilophodontidae indet.","family","38734","","Hypsilophodontidae","family","38734","Albian","","113","100.5","56060"
"289738","occ","21975","","14388","Tenontosaurus ? sp.","genus","38741","","Tenontosaurus","genus","38741","Albian","","113","100.5","7600"
"291022","occ","","","14640","Thescelosaurus sp.","genus","38742","","Thescelosaurus","genus","38742","Lancian","","70.6","66","717"
"291023","occ","","","14640","Triceratops sp.","genus","38862","","Triceratops","genus","38862","Lancian","","70.6","66","717"
"292863","occ","","","27894","Hadrosauroidea indet.","superfamily","52811","","Hadrosauroidea","superfamily","52811","Late Maastrichtian","","70.6","66","7650"
